Player,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"Joe Hart

Birmingham, 33, GK",36,3240,-,-,-,0.1,-,0.1,-,-,-,6.89
"Alan Hutton

Sunderland, 35, D(LR)",11,951,-,1,0.5,1,1,1.1,0.1,0.9,-,6.89
"Danny Collins

Stoke, 40, D(C)",22(3),2079,-,1,0.1,0.3,0.2,0.3,-,0.2,-,6.89
"Steven Mouyokolo

Hull, 33, D(CL),DMC",19(2),1674,1,-,0.3,0.1,-,0.6,0.1,0.1,-,6.89
"James McCarthy

Wigan, 29, M(C)",19(1),1638,1,1,1.1,1,0.4,1,-,1.6,-,6.89
"Benjani

Man City, 42, FW",1(1),126,-,1,1,1,-,1.5,0.5,1.5,-,6.89
"Zoltán Gera

Fulham, 41, M(CLR)",19(8),1870,2,3,1.6,1.3,0.4,1.3,0.1,2,-,6.88
"Paulo Ferreira

Chelsea, 41, D(R)",11(2),951,-,-,0.2,1.1,0.2,0.8,-,0.5,-,6.88
"Maynor Figueroa

Wigan, 37, D(CL),M(L)",35,3088,1,1,0.6,0.8,0.6,1.2,-,1.1,-,6.88
"Javier Garrido

Man City, 35, D(CL)",7(2),634,1,-,0.4,0.1,0.1,1.2,0.2,0.3,-,6.88
"Martin Skrtel

Liverpool, 35, D(C)",16(3),1410,1,-,0.7,0.1,0.1,0.7,-,-,-,6.88
"Liam Ridgewell

Birmingham, 36, D(CL)",30(1),2745,3,1,0.5,0.6,0.2,1.1,0.2,0.6,-,6.88
"Tyrone Mears

Burnley, 37, D(R),M(R)",38,3420,-,4,0.5,0.5,0.6,1.2,0.1,0.7,-,6.87
"Philippe Senderos

Everton, 35, D(C)",1(1),91,-,-,0.5,-,-,0.5,-,-,-,6.87
"Nadir Belhadj

Portsmouth, 38, D(C),DMC",16(3),1468,3,2,0.9,1.5,0.7,0.4,-,1,-,6.87
"Petr Cech

Chelsea, 38, GK",34,3021,-,1,-,0.2,0.1,0.1,-,-,-,6.87
"Aaron Ramsey

Arsenal, 29, M(CR)",7(11),780,3,3,1.1,0.8,0.6,0.7,-,1.6,-,6.86
"Diniyar Bilyaletdinov

Everton, 35, M(CLR)",16(7),1437,6,1,1.5,1,0.8,0.7,0.1,1.3,-,6.86
"Radoslav Kovac

West Ham, 40, D(C)",27(4),2269,2,2,0.7,0.4,0.2,0.9,-,0.8,-,6.86
"Grétar Steinsson

Bolton, 38, D(R)",25(2),2218,-,2,0.6,0.6,0.3,0.6,-,0.5,-,6.86
"Andy Wilkinson

Stoke, 36, D(LR)",21(4),2034,-,-,0.4,0.2,0.2,0.6,-,0.5,-,6.86
"Darron Gibson

Man Utd, 32, M(C)",6(9),588,2,2,2.2,0.8,0.3,0.1,-,0.3,-,6.86
"Danny Higginbotham

Stoke, 41, D(C),DMC",23(1),2004,1,1,0.6,0.4,0.2,0.7,0.1,0.3,-,6.86
"Craig Gardner

Birmingham, 33, D(R),M(CLR)",10(3),900,1,1,1.5,0.7,0.5,0.9,0.1,1.4,-,6.86
"Steve Gohouri

Wigan, 39, D(CLR),DMC",4(1),368,1,-,0.6,0.4,0.8,0.6,-,-,-,6.86
"Mamady Sidibe

Stoke, 40, AM(L),FW",19(5),1531,2,1,0.8,0.4,0.2,1.1,0.3,1.4,-,6.86
"Park Ji-Sung

Man Utd, 39, M(CLR)",10(7),968,3,1,1.2,1,0.5,1.5,0.2,1.8,-,6.85
"Daniel Fox

Burnley, 34, D(CL)",13(1),1149,1,1,1,0.7,0.3,0.6,-,0.4,-,6.85
"Matthew Taylor

Bolton, 38, M(CLR)",29(8),2582,8,1,2.9,1.4,0.3,0.9,0.1,1.4,-,6.85
"Séamus Coleman

Everton, 31, D(R),M(R)",0(3),106,-,1,0.3,0.7,2,0.3,-,0.3,-,6.85
"Andy O'Brien

Bolton, 41, D(C)",6,514,-,-,0.2,-,-,0.7,-,-,-,6.85
"Vito Mannone

Arsenal, 32, GK",5,450,-,-,-,-,-,0.4,-,-,-,6.84
"Nyron Nosworthy

Sunderland, 39, D(C)",7(3),709,-,-,0.1,0.4,0.8,0.9,-,0.6,-,6.84
"Michael Brown

Portsmouth, 43, M(C)",22(2),1932,2,4,0.9,0.9,0.3,1.6,-,0.9,-,6.84
"Anderson

Man Utd, 32, M(CR)",10(4),865,1,2,0.8,0.9,0.7,1.7,-,0.8,-,6.84
"Matthew Jarvis

Wolves, 34, M(LR)",30(4),2658,3,3,1.2,1.7,0.5,0.9,0.2,0.8,-,6.84
"George Elokobi

Wolves, 34, D(C)",17(5),1643,-,-,0.2,0.5,0.3,0.7,-,0.5,-,6.84
"Salomon Kalou

Chelsea, 35, AM(CLR),FW",11(12),956,5,3,1.6,1.4,0.7,0.4,0.3,1,-,6.83
"Anton Ferdinand

Sunderland, 35, D(C)",19(5),1776,-,1,-,0.3,0.1,0.3,-,0.1,-,6.83
"Stephen Ward

Wolves, 35, D(L)",18(4),1577,-,1,0.2,0.5,0.3,0.7,-,0.4,-,6.83
"Lee Cattermole

Sunderland, 32, M(C)",19(3),1497,-,3,0.5,0.6,0.3,0.6,-,1.4,-,6.83
"Jussi Jääskeläinen

Bolton, 45, GK",38,3420,-,-,-,0.1,0.1,0.1,-,-,-,6.82
"Barry Ferguson

Birmingham, 42, M(C)",37,3330,-,-,0.5,0.5,0.2,1.1,-,0.6,-,6.82
"Asmir Begovic

Stoke, 33, GK",3(1),324,-,-,-,-,-,0.3,-,-,-,6.82
"Stephen Carr

Birmingham, 44, D(R)",35,3112,-,2,0.2,0.5,0.5,0.7,-,0.3,-,6.82
"Roman Pavlyuchenko

Tottenham, 38, FW",8(8),747,5,2,2.6,0.6,0.3,0.6,0.4,1.6,-,6.82
"Craig Eastmond

Arsenal, 29, Midfielder",2(2),171,-,-,0.5,0.5,-,0.8,-,0.8,-,6.82
"Fabrice Muamba

Bolton, 32, M(CR),FW",35(1),2948,1,-,1.1,0.4,0.2,0.5,-,0.9,-,6.82
"Jermaine Jenas

Tottenham, 37, M(C)",9(10),932,1,2,0.8,0.7,0.7,1.1,0.1,1,-,6.82
"Jonathan Spector

West Ham, 34, D(CR),DMC",22(5),2238,-,-,0.2,0.6,0.6,1.1,-,0.6,-,6.82
"Mikaël Silvestre

Arsenal, 43, D(C)",9(3),857,1,-,0.5,0.3,0.2,0.5,-,0.2,-,6.82
"Stephen Ireland

Man City, 34, M(C)",16(6),1453,2,2,0.7,1,0.1,0.6,0.1,0.9,-,6.81
"Alberto Aquilani

Liverpool, 36, M(C)",9(9),815,1,6,1.5,0.7,0.3,1.2,-,1.1,-,6.81
"Asmir Begovic

Portsmouth, 33, GK",8(1),736,-,-,-,-,-,-,-,-,-,6.80
"Maik Taylor

Birmingham, 49, Goalkeeper",2,180,-,-,-,-,-,-,-,-,-,6.80
"Paul Robinson

Bolton, 41, D(CL)",24(1),2193,-,2,-,0.4,-,1.2,-,0.4,-,6.80
"Dean Whitehead

Stoke, 38, D(R),DMC",33(3),2899,-,-,0.4,0.6,0.2,1,-,0.8,-,6.80
"Steven Fletcher

Burnley, 33, FW",35,2873,8,5,2.3,1,0.5,1.7,0.8,2.8,-,6.80
"Martin Petrov

Man City, 41, M(CL),FW",8(8),724,4,3,1.8,1.3,0.2,0.3,0.1,0.6,-,6.79
"Anthony Gardner

Hull, 39, D(C)",24,2160,-,-,0.3,0.2,0.1,0.7,-,0.2,-,6.79
"Frédéric Piquionne

Portsmouth, 41, FW",26(8),2282,5,2,1.8,0.9,0.6,0.6,1.1,1.4,-,6.79
"Rory Delap

Stoke, 44, D(C),M(CR),FW",34(2),2887,-,-,0.6,1.2,0.4,0.4,0.1,0.6,-,6.79
"Nicky Shorey

Fulham, 39, D(L)",9,810,-,-,0.3,0.7,0.6,0.3,-,-,-,6.79
"Guillermo Franco

West Ham, 43, AM(L),FW",16(7),1373,5,3,1.3,1,0.3,1.3,0.5,1.3,-,6.78
"Kieran Richardson

Sunderland, 35, D(L),M(CL)",28(1),2418,1,1,1,0.8,0.5,1,0.1,1.9,-,6.78
"André Bikey

Burnley, 35, D(C)",26(2),2190,1,-,1.1,0.3,0.8,1,-,1.3,-,6.77
"Ibrahima Sonko

Hull, 39, D(C)",9,810,-,-,0.2,0.3,0.3,0.7,-,0.2,-,6.77
"Gary Caldwell

Wigan, 38, D(C)",16,1347,2,-,0.3,0.3,0.3,1.4,-,0.4,-,6.77
"Tony Hibbert

Everton, 39, D(R)",17(3),1480,-,-,0.2,0.9,0.3,0.5,0.1,0.4,-,6.77
"Luis Jiménez

West Ham, 36, AM(CL),FW",6(5),657,1,2,1.3,1.7,0.9,0.8,0.4,0.9,-,6.76
"Robbie Keane

Tottenham, 40, FW",15(5),1160,6,2,1.2,1.1,0.3,0.8,0.7,1.1,-,6.76
"Julien Faubert

West Ham, 37, D(R),M(R)",32(1),2820,1,3,0.2,0.8,0.7,0.6,-,0.7,-,6.76
"Teemu Tainio

Birmingham, 40, DMC",5(1),361,-,-,0.7,0.7,0.2,1,-,0.8,-,6.76
"Leon Cort

Burnley, 40, DMC",15,1291,-,1,0.3,0.2,-,0.6,-,0.2,-,6.76
"Salif Diao

Stoke, 43, M(CR)",11(5),946,1,1,0.5,0.4,-,0.4,-,0.3,-,6.76
"Daniel Ayala

Liverpool, 29, D(C)",2(3),235,-,-,-,-,0.2,0.4,-,-,-,6.75
"Steve Finnan

Portsmouth, 44, D(R)",20(1),1810,-,-,-,0.6,-,0.5,-,0.7,-,6.75
"Ivan Klasnic

Bolton, 40, AM(L),FW",12(15),1211,8,1,2.3,0.7,0.4,0.5,0.5,1,-,6.75
"Theo Walcott

Arsenal, 31, M(CLR),FW",12(11),1132,3,2,1.5,1,0.8,0.6,0.2,1.9,-,6.75
"Jimmy Bullard

Hull, 41, M(C)",13(1),1055,5,-,3,0.9,0.4,1.6,0.1,1.7,-,6.74
"Anthony Vanden Borre

Portsmouth, 32, D(R)",15(4),1325,-,2,0.6,0.7,1,0.9,0.1,1.4,-,6.74
"Liam Lawrence

Stoke, 38, DMC",14(11),1379,1,2,0.7,1,0.3,0.8,-,0.8,-,6.74
"Christian Benitez

Birmingham, 34, AM(L),FW",21(9),1935,3,5,1.8,1,1.4,1.3,1.3,2.3,-,6.74
"Phil Neville

Everton, 43, M(C)",22(1),1955,-,1,0.3,0.4,0.1,0.4,-,0.3,-,6.74
"Stephen Jordan

Burnley, 38, D(CL)",23(2),2024,-,1,0.1,0.4,0.4,0.6,-,0.3,-,6.74
"Wade Elliott

Burnley, 41, M(C)",34(4),3121,4,4,1,1.2,1.1,1.1,0.1,1.7,-,6.74
"Jack Cork

Burnley, 31, DMC",8(3),773,1,3,0.9,1.3,0.1,1.4,-,1.9,-,6.73
"Simon Davies

Fulham, 40, D(C),M(C),FW",12(5),1001,-,2,0.5,1.2,0.3,0.5,0.1,0.5,-,6.73
"Dave Kitson

Stoke, 40, AM(L)",10(8),935,3,1,1.1,0.6,0.3,0.9,0.3,0.9,-,6.73
"Nedum Onuoha

Man City, 33, D(CR)",5(5),571,1,1,0.4,0.3,0.2,0.6,-,-,-,6.73
"Tim Howard

Everton, 41, GK",38,3420,-,-,-,-,-,0.1,-,-,-,6.73
"Glenn Whelan

Stoke, 36, DMC",25(8),2353,2,2,1.2,0.8,0.2,0.6,-,0.9,-,6.73
"Jordan Henderson

Sunderland, 30, M(CLR)",23(10),2189,1,5,1,0.8,0.5,0.4,0.1,1.2,-,6.73
"Dickson Etuhu

Fulham, 38, AM(CR),FW",14(6),1331,-,-,0.5,0.1,0.3,0.4,-,0.5,-,6.73
"Ben Foster

Man Utd, 37, GK",9,810,-,-,-,-,0.1,0.1,-,0.2,-,6.72
"Stephen Kelly

Fulham, 37, D(LR)",7(1),595,-,-,-,0.6,-,0.8,-,0.4,-,6.72
"Ilan Araujo

West Ham, 39, AM(C)",6(5),576,4,-,1.3,0.5,0.6,0.9,0.3,1.2,-,6.72
"Johan Elmander

Bolton, 39, M(C),FW",15(10),1353,3,1,1.7,0.9,0.3,0.8,0.2,1.5,-,6.72
"Mario Melchiot

Wigan, 43, D(R)",32,2853,-,1,0.1,0.9,0.5,1.1,-,0.8,-,6.72
"El Hadji Diouf

Blackburn, 39, D(C),M(CLR),FW",24(2),1946,3,2,0.8,0.9,0.5,1.5,0.3,1.9,-,6.72
"Marc Wilson

Portsmouth, 33, D(CL),DMC",28,2411,-,1,0.4,0.3,0.1,0.6,-,0.4,-,6.72
"Emmerson Boyce

Wigan, 40, D(CR),M(R)",23(1),2037,3,1,0.5,0.3,0.3,0.6,-,0.4,-,6.71
"Stuart Parnaby

Birmingham, 38, D(CR)",6(2),546,-,-,0.4,0.9,-,0.4,-,-,-,6.71
"Eduardo da Silva

Arsenal, 37, M(C),FW",13(11),1121,2,4,1.8,1.2,0.6,0.4,0.4,1,-,6.71
"Grégory Vignal

Birmingham, 39, D(C)",6(2),501,-,-,0.1,0.5,0.5,1.8,-,0.6,-,6.71
"Emile Heskey

Aston Villa, 42, FW",16(15),1299,3,2,0.9,0.6,0.1,1,0.1,0.6,-,6.71
"Diomansy Kamara

Fulham, 39, M(L)",5(4),454,1,-,1,0.9,0.8,1.3,0.2,1.7,-,6.70
"Mark Cullen

Hull, 28, FW",2(1),194,1,-,1.3,0.3,-,1,1.3,1,-,6.70
"Chris Eagles

Burnley, 34, M(LR)",20(14),1970,2,3,1.8,0.9,1.2,1.1,0.1,1.4,-,6.69
"Graham Alexander

Burnley, 48, M(CR)",33,2747,7,1,0.9,1.1,-,0.9,-,0.9,-,6.69
"Jason Koumas

Wigan, 40, M(L)",6(2),424,1,-,0.9,1.4,0.8,0.9,0.3,1.3,-,6.69
"Sam Ricketts

Bolton, 38, D(CR),DMC",25(2),2168,-,1,0.2,0.6,0.6,0.7,-,0.4,-,6.69
"David N'Gog

Liverpool, 31, FW",10(14),1013,5,-,1.7,0.6,0.5,0.9,0.4,1.3,-,6.69
"Míchel Salgado

Blackburn, 44, D(R)",16(5),1436,-,1,0.2,0.6,-,0.6,-,0.4,-,6.69
"Keith Andrews

Blackburn, 39, M(C)",22(10),2115,1,-,1.1,0.6,0.3,0.5,-,0.7,-,6.68
"Jonathan Greening

Fulham, 41, AM(C)",15(8),1502,1,1,0.3,0.5,0.2,0.6,-,0.7,-,6.68
"Lucas Neill

Everton, 42, D(LR)",10(2),918,-,2,-,0.5,0.4,0.4,-,0.2,-,6.68
"Shay Given

Man City, 44, GK",35,3136,-,-,-,-,-,-,-,-,-,6.68
"David Stockdale

Fulham, 34, GK",1,90,-,-,-,-,-,-,-,-,-,6.68
"Hérita Ilunga

West Ham, 38, D(C)",16,1211,-,1,0.3,0.5,0.4,1.2,0.1,0.6,-,6.68
"Juliano Belletti

Chelsea, 44, Defender",4(7),484,-,1,0.7,1.4,0.4,0.5,0.1,0.7,-,6.68
"David Meyler

Sunderland, 31, D(R),DMC,M(LR)",9(1),730,-,-,0.4,0.5,0.3,1.5,0.1,0.7,-,6.68
"Lennard Sowah

Portsmouth, 28, Defender",3(2),340,-,-,-,0.4,0.4,0.6,-,0.6,-,6.68
"Paul Konchesky

Fulham, 39, D(L)",27,2367,1,1,0.4,0.7,0.2,0.4,-,0.8,-,6.68
"Martin Paterson

Burnley, 33, FW",17(6),1434,4,2,1.4,0.5,0.5,1.2,0.3,1.1,-,6.68
"Robinho

Man City, 36, AM(CLR),FW",6(4),542,-,3,2.3,0.6,0.4,1.3,0.7,1.3,-,6.68
"Andy Keogh

Wolves, 34, FW",8(5),743,1,1,1.8,1.2,0.9,0.3,0.9,1,-,6.67
"Jack Rodwell

Everton, 29, D(C),M(C)",17(9),1622,2,1,1.7,0.6,0.3,0.3,-,0.9,-,6.67
"Papa Bouba Diop

Portsmouth, 42, M(C)",9(3),717,-,-,0.5,0.3,0.7,1.5,0.1,0.6,-,6.67
"Ricardo Fuller

Stoke, 40, FW",22(13),2240,3,3,1.8,0.7,1,1.5,0.9,1.9,-,6.67
"Nenad Milijas

Wolves, 37, AM(CR),FW",12(7),979,2,3,1.6,1.2,0.2,0.5,0.1,0.6,-,6.67
"Victor Anichebe

Everton, 32, M(L),FW",6(5),484,1,2,1.3,0.5,0.6,1,0.5,1.1,-,6.67
"Keith Fahey

Birmingham, 37, AM(CL),FW",18(16),1696,-,2,0.6,0.5,0.5,0.8,-,0.6,-,6.66
"Míchel

Birmingham, 34, M(C)",3(6),305,-,1,0.2,0.3,0.4,0.7,-,0.9,-,6.66
"Dean Marney

Hull, 36, M(C)",15(1),1224,1,3,1.2,0.7,0.1,0.4,-,0.4,-,6.65
"Yakubu

Everton, 37, FW",9(16),1083,5,4,1.5,1,0.4,0.7,0.1,1.3,-,6.65
"Manuel Almunia

Arsenal, 43, GK",29,2610,-,1,-,-,-,0.2,-,-,-,6.65
"Joel Ward

Portsmouth, 30, D(LR),DMC,M(R)",1(2),145,-,-,0.7,-,-,1,-,0.3,-,6.65
"Paul Robinson

Blackburn, 40, GK",35,3086,-,1,-,0.3,-,0.1,-,-,-,6.65
"Andy Dawson

Hull, 41, D(CL)",35,3068,1,-,0.3,0.5,0.1,0.6,-,0.5,-,6.64
"Kevin Foley

Wolves, 35, D(R)",23(2),1983,-,-,0.7,1,0.3,0.5,0.2,0.8,-,6.64
"Hassan Yebda

Portsmouth, 36, M(C)",15(3),1279,2,-,1.1,0.5,0.3,0.8,0.1,1.7,-,6.63
"John O'Shea

Man Utd, 39, D(C)",12(3),1117,1,1,0.1,0.3,0.1,0.2,-,0.3,-,6.63
"George McCartney

Sunderland, 39, D(L)",20(5),1757,-,-,0.1,0.3,0.3,1,0.2,0.5,-,6.63
"Geovanni

Hull, 40, AM(C)",16(10),1539,3,-,1.8,0.7,0.8,1.9,0.2,1.5,-,6.63
"Brian Jensen

Burnley, 45, GK",38,3345,-,-,-,0.1,-,0.1,-,-,-,6.62
"Fraizer Campbell

Sunderland, 32, FW",19(12),1912,4,4,1,0.5,0.7,1.1,0.4,2.1,-,6.62
"Caleb Folan

Hull, 37, FW",7(1),568,2,-,0.9,0.5,0.1,0.4,1.3,1,-,6.62
"David Nugent

Burnley, 35, M(C),FW",20(10),1879,6,2,1.4,0.8,0.4,0.9,0.5,1.6,-,6.62
"Boaz Myhill

Hull, 37, GK",27,2430,-,-,-,-,-,0.1,-,-,-,6.62
"George Boateng

Hull, 45, DMC,M(R)",26(3),2234,1,1,0.9,0.4,0.4,1.3,-,1,-,6.61
"Ryan Babel

Liverpool, 33, M(LR),FW",9(16),954,4,1,1.2,0.7,1,0.3,0.2,1.3,-,6.61
"Jordi Gómez

Wigan, 35, M(CLR)",11(12),1261,1,-,2,1,0.7,2,0.1,1.5,-,6.61
"Benni McCarthy

Blackburn, 42, FW",7(7),711,1,3,2.4,1,0.6,0.9,0.6,2.2,-,6.61
"Amine Linganzi

Blackburn, 30, Midfielder",1,46,-,-,-,-,-,-,-,2,-,6.61
"Ricardo Gardner

Bolton, 41, AM(C)",11(10),1107,1,1,0.7,0.7,0.4,0.8,0.2,1.2,-,6.61
"David James

Portsmouth, 50, GK",25,2234,-,-,-,0.1,-,-,-,-,-,6.61
"Nigel Reo-Coker

Aston Villa, 36, D(R),M(C)",6(4),526,-,-,0.4,0.3,0.5,0.6,0.1,1,-,6.61
"Richard Stearman

Wolves, 33, D(C)",12(4),1126,1,-,0.5,0.2,0.2,1.5,0.1,0.6,-,6.61
"Richard Hughes

Portsmouth, 41, M(C)",9(1),782,-,-,0.5,-,0.2,1.2,-,0.6,-,6.60
"Tommy Smith

Portsmouth, 40, M(C),FW",12(4),1029,1,1,1.7,1.1,0.5,0.6,0.1,1.3,-,6.60
"Gavin McCann

Bolton, 42, Midfielder",5(6),532,-,-,0.4,0.5,0.4,0.4,-,0.7,-,6.60
"Michael Mancienne

Wolves, 32, D(CLR),M(C)",22(8),1991,-,-,0.3,0.1,0.3,0.3,-,0.4,-,6.60
"Niko Kranjcar

Portsmouth, 36, M(CL)",4,360,-,-,2.5,1.8,0.3,1.8,-,2,-,6.60
"Robert Green

West Ham, 40, GK",38,3403,-,-,-,-,-,0.3,-,-,-,6.60
"David Jones

Wolves, 35, M(C)",16(4),1421,1,2,1.3,1.1,0.1,0.6,0.1,1.3,-,6.59
"Vince Grella

Blackburn, 40, AM(R)",10(5),955,-,-,0.5,0.5,0.3,0.8,-,0.5,-,6.59
"Bernard Mendy

Hull, 39, D(LR)",15(6),1391,-,-,0.5,0.3,0.9,1,-,0.9,-,6.59
"Hermann Hreidarsson

Portsmouth, 46, D(C),DMC",17,1415,1,-,0.4,0.1,0.4,0.4,-,0.3,-,6.59
"Mido

West Ham, 37, FW",5(4),495,-,-,2.4,0.3,0.2,0.1,0.4,1.4,-,6.59
"Michael Brown

Wigan, 43, M(C)",2,152,-,-,-,1,0.5,-,-,2,-,6.59
"Dan Gosling

Everton, 30, M(C)",3(8),342,2,-,0.8,0.4,0.3,0.7,0.1,0.9,-,6.58
"Jlloyd Samuel

Bolton, 39, D(C)",12(1),1029,-,-,0.1,0.5,0.4,0.8,0.1,0.5,-,6.58
"Mike Pollitt

Wigan, 48, Goalkeeper",2(2),291,-,-,-,-,-,-,-,-,-,6.57
"Steven Caldwell

Burnley, 39, D(C)",12(1),1063,1,-,0.5,0.1,0.1,1,-,0.2,-,6.57
"Fábio Aurélio

Liverpool, 40, D(C),FW",8(6),655,-,1,0.8,0.8,0.3,0.3,0.1,0.6,-,6.57
"Karl Henry

Wolves, 37, M(C)",34,3036,-,-,0.6,0.7,0.2,1.3,-,1,-,6.57
"Paul McShane

Hull, 34, D(C)",26(1),2296,-,-,0.2,0.3,0.3,0.9,-,0.7,-,6.57
"Lee Carsley

Birmingham, 46, M(C)",3(4),353,-,-,0.6,-,-,0.3,-,0.9,-,6.56
"Zavon Hines

West Ham, 31, AM(L)",5(8),601,1,-,1.2,0.5,0.5,2.3,0.6,1.2,-,6.56
"Martin Kelly

Liverpool, 30, D(CLR)",0(1),19,-,-,1,-,-,-,-,-,-,6.56
"Aaron Mokoena

Portsmouth, 39, D(CL),FW",21(2),1733,-,-,0.4,0.4,0.1,0.8,-,0.6,-,6.56
"Vladimir Weiss

Bolton, 30, M(CLR)",3(10),386,-,3,0.3,0.5,1,1.2,-,0.8,-,6.56
"Seyi Olofinjana

Hull, 40, M(C)",11(8),1129,1,-,0.7,0.3,0.9,0.6,-,1.4,-,6.55
"Wayne Hennessey

Wolves, 33, GK",13,1170,-,1,-,0.1,-,0.2,-,-,-,6.55
"Adlène Guédioura

Wolves, 34, M(C)",7(7),591,1,-,1.4,0.1,0.4,1.4,-,1.5,-,6.55
"Phil Bardsley

Sunderland, 35, D(LR)",18(8),1698,-,-,0.5,0.1,0.3,0.7,-,0.7,-,6.54
"Sam Hutchinson

Chelsea, 31, D(C),DMC",0(2),21,-,1,0.5,0.5,-,-,-,0.5,-,6.54
"Erik Nevland

Fulham, 42, AM(L),FW",12(10),1170,3,4,1.3,0.7,0.1,0.4,0.6,1,-,6.54
"Habib Beye

Aston Villa, 42, D(R)",5(1),442,-,-,-,0.5,0.2,0.2,0.2,0.7,-,6.54
"Angelos Basinas

Portsmouth, 44, D(C)",7(5),771,-,-,0.5,1.1,-,0.3,-,0.8,-,6.54
"Patrick van Aanholt

Chelsea, 30, D(L),M(L)",0(2),32,-,-,-,0.5,-,-,-,-,-,6.54
"Robbie Blake

Burnley, 44, AM(CL)",20(11),1652,2,3,1,1.6,0.6,1,0.1,1.3,-,6.53
"Kevin Kilbane

Hull, 43, M(C)",15(6),1351,1,1,0.5,0.3,0.4,0.8,0.1,0.7,-,6.53
"Sylvinho

Man City, 46, D(C)",6(3),484,-,-,0.6,0.3,0.7,0.3,-,0.7,-,6.53
"John Utaka

Portsmouth, 38, M(L),FW",10(8),1048,1,2,1.8,1.1,0.9,1.1,0.6,1.4,-,6.53
"Liam Cooper

Hull, 29, D(C)",1(1),124,-,-,-,-,0.5,0.5,-,-,-,6.52
"Steve Sidwell

Aston Villa, 37, M(C)",12(13),1216,-,1,1.2,0.2,0.2,0.3,-,0.7,-,6.52
"Junior Stanislas

West Ham, 30, M(CLR)",11(15),1241,3,2,1.5,0.8,0.3,0.3,0.2,1,-,6.51
"Chris Kirkland

Wigan, 39, GK",32,2770,-,-,-,-,-,0.2,-,-,-,6.51
"Nabil El Zhar

Liverpool, 34, M(CLR)",1(2),89,-,-,1,0.3,0.3,1,-,1.7,-,6.51
"Johan Djourou

Arsenal, 33, D(C)",0(1),28,-,-,-,-,-,3,-,-,-,6.51
"Victor Moses

Wigan, 29, M(CLR)",2(12),432,1,3,1,0.8,1,0.9,0.1,1.4,-,6.51
"Sean Davis

Bolton, 40, Midfielder",3,234,-,-,1.7,1.3,-,1.3,-,1.7,-,6.51
"Roque Santa Cruz

Man City, 39, FW",6(13),636,3,-,1,0.4,-,0.4,0.4,0.8,-,6.51
"Fabio

Man Utd, 30, D(LR),M(R)",1(4),148,-,-,0.2,0.2,0.4,0.2,-,0.2,-,6.50
"Chris McCann

Burnley, 33, D(CL),M(CL)",7,491,-,-,0.7,0.9,0.4,0.7,-,1.7,-,6.50
"Matt Duke

Hull, 43, GK",11,990,-,-,-,-,-,0.1,-,-,-,6.49
"Kevin McDonald

Burnley, 31, M(C)",15(11),1458,1,1,0.6,0.5,0.4,0.5,0.1,1.1,-,6.49
"James Beattie

Stoke, 42, FW",11(11),801,3,1,1,0.3,-,0.8,0.3,0.7,-,6.48
"Jason Roberts

Blackburn, 42, FW",15(14),1548,5,3,1.1,0.6,0.3,1.8,0.7,1.5,-,6.48
"Jan Vennegoor of Hesselink

Hull, 41, AM(L),FW",17(14),1493,3,2,1,0.5,0.1,0.7,0.5,1,-,6.48
"David Edgar

Burnley, 33, D(C),DMC",2(2),239,-,-,-,-,0.3,0.3,-,-,-,6.48
"Garry O'Connor

Birmingham, 37, FW",5(5),554,1,-,1.7,0.9,0.1,0.5,0.9,1.5,-,6.48
"Chris Smalling

Fulham, 30, D(CR)",9(3),870,-,-,0.4,0.1,0.2,0.5,0.2,0.3,-,6.47
"Nemanja Matic

Chelsea, 32, DMC",0(2),40,-,-,0.5,-,-,-,-,-,-,6.47
"David Edwards

Wolves, 34, M(CL)",16(4),1359,1,-,0.8,0.5,0.3,0.8,0.1,0.9,-,6.46
"Fran Mérida

Arsenal, 30, AM(C)",0(4),61,1,-,0.3,0.3,-,0.8,0.3,0.3,-,6.46
"Marton Fülöp

Sunderland, 37, GK",12(1),1103,-,-,-,0.1,-,0.2,-,-,-,6.46
"David Junior Hoilett

Blackburn, 30, M(CLR),FW",8(15),942,-,-,1.1,0.5,0.4,0.6,0.1,0.9,-,6.46
"Greg Halford

Wolves, 35, D(CR),M(CR),FW",12(3),897,-,-,1.1,0.4,0.3,0.4,0.1,0.6,-,6.46
"Stefano Okaka

Fulham, 31, FW",3(8),442,2,-,1.4,0.4,0.5,0.7,0.4,2.9,-,6.45
"Philipp Degen

Liverpool, 37, D(R)",3(4),328,-,-,0.3,0.9,0.4,1.9,0.3,0.6,-,6.45
"Franco Di Santo

Blackburn, 31, AM(CLR),FW",15(7),1160,1,1,1,0.5,0.3,0.8,0.9,1.2,-,6.45
"Craig Fagan

Hull, 37, M(LR),FW",20(5),1828,2,2,0.9,0.4,0.4,1.2,0.2,2.8,-,6.45
"Grant Leadbitter

Sunderland, 34, DMC",0(1),28,-,-,-,-,-,1,-,-,-,6.45
"Ricardo Rocha

Portsmouth, 41, D(C)",10,725,-,-,0.1,-,-,0.8,0.1,0.3,-,6.45
"Stephen Warnock

Blackburn, 38, D(CL),M(L)",1,90,-,-,-,-,1,1,-,-,-,6.45
"Boudewijn Zenden

Sunderland, 44, FW",1(19),501,2,-,1,0.3,0.1,0.4,-,0.8,-,6.45
