Player,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"Joey Barton

Newcastle, 38, M(C)",32,2880,4,9,1.8,2.5,0.4,2,-,1.8,1.1,7.35
"Luka Modric

Tottenham, 34, M(C)",32,2801,3,2,1.7,2.1,2.2,1.4,0.1,2.1,1.5,7.34
"Gaël Clichy

Arsenal, 35, D(L)",33,2970,-,1,0.4,0.6,0.6,0.5,0.1,0.7,0.4,7.34
"James Tomkins

West Ham, 31, D(CR)",18(1),1582,1,1,0.7,0.3,0.1,0.7,-,0.2,0.3,7.34
"Alex

Chelsea, 38, D(C)",12(3),1111,2,-,0.7,0.3,0.2,0.2,-,0.1,0.2,7.34
"Christopher Samba

Blackburn, 36, D(C)",33,2883,4,-,1.5,0.3,0.1,0.6,0.1,0.2,0.2,7.33
"Dimitar Berbatov

Man Utd, 39, AM(C),FW",24(8),2210,20,3,3.1,1.1,1,0.5,1.1,1.4,1.3,7.32
"John Terry

Chelsea, 39, D(C)",33,2962,3,1,0.8,0.4,0.2,0.8,0.1,0.1,0.2,7.31
"Raul Meireles

Liverpool, 37, M(C)",32(1),2547,5,5,1.9,2,0.5,0.9,0.1,0.9,1.3,7.31
"Kevin Davies

Bolton, 43, AM(L),FW",38,3387,8,5,1.6,2.4,0.2,2,0.3,1.7,1.9,7.31
"Marcos Alonso

Bolton, 29, D(CL),M(L)",4,360,-,-,0.5,1,0.3,2.5,-,0.3,0.8,7.31
"Samir Nasri

Arsenal, 33, M(CLR)",28(2),2392,10,1,2.7,2,2,0.6,0.4,2.4,1.5,7.31
"Gary Cahill

Bolton, 34, D(C)",36,3214,3,-,1.2,0.3,0.5,1.1,-,0.4,0.6,7.30
"Manuel da Costa

West Ham, 34, D(C)",14(2),1293,1,-,1.7,0.3,0.6,0.8,-,0.8,0.8,7.29
"Dirk Kuyt

Liverpool, 40, M(CLR),FW",32(1),2821,13,7,1.9,1.7,0.9,1.1,0.6,2.5,1.9,7.29
"Luis Antonio Valencia

Man Utd, 35, D(R),M(R)",8(2),741,1,2,0.7,2.5,1.5,0.4,0.1,1.6,1.4,7.27
"Pablo Zabaleta

Man City, 35, D(R),DMC,M(R)",21(5),1946,2,2,0.7,0.7,0.3,1.1,0.1,0.7,0.7,7.27
"Scott Parker

West Ham, 39, M(C)",30(2),2738,5,2,1.1,1.3,0.9,1.5,0.1,2,1.3,7.27
"Thomas Hitzlsperger

West Ham, 38, AM(C)",11,990,2,4,3,3.2,0.2,0.6,-,0.8,0.9,7.27
"Kyle Walker

Aston Villa, 30, D(CR),M(R)",15,1338,1,3,0.3,1,1.7,1.7,0.2,0.7,1.1,7.27
"Thomas Vermaelen

Arsenal, 34, D(CL)",5,450,-,1,2,0.2,-,1.2,-,0.2,0.6,7.26
"Mikel Arteta

Everton, 38, M(C)",29,2412,3,5,1.8,2.1,0.9,1.7,-,0.9,0.8,7.26
"David Wheater

Bolton, 33, D(C)",5(2),535,-,-,0.6,0.3,0.4,0.6,-,0.1,0.7,7.25
"Rafael

Man Utd, 30, D(LR),M(R)",15(1),1203,-,1,0.4,1,0.9,1.3,-,0.3,1,7.24
"Michael Essien

Chelsea, 37, D(R),DMC",32(1),2802,3,2,2.1,1,1.5,1.6,-,1.3,0.8,7.24
"Steve Sidwell

Fulham, 37, M(C)",10(2),940,2,1,1.5,0.3,0.3,0.8,0.2,1,0.8,7.24
"Branislav Ivanovic

Chelsea, 36, D(CR)",32(2),2830,4,4,1.1,0.6,0.3,1,0.1,0.5,0.6,7.24
"Kenwyne Jones

Stoke, 35, FW",33(1),2795,9,-,2.6,0.7,0.5,1.4,0.2,1.8,2.2,7.23
"Glen Johnson

Liverpool, 36, D(CLR),M(R)",28,2438,2,2,0.9,1,1.8,1.1,0.1,0.6,1.2,7.23
"Chris Brunt

West Brom, 35, D(L),M(CLR)",34,3016,4,9,3.1,2.6,0.3,0.4,0.1,0.9,1.1,7.23
"Benoit Assou-Ekotto

Tottenham, 36, D(L)",30,2573,-,-,0.4,0.7,1.1,1.4,-,1,0.6,7.22
"Park Ji-Sung

Man Utd, 39, M(CLR)",13(2),1084,5,3,1.2,1.1,0.5,2.5,0.1,2.3,1.5,7.22
"Lucas Leiva

Liverpool, 33, D(C),M(C)",32(1),2858,-,1,0.7,0.7,0.3,1.5,-,1.1,0.8,7.21
"Peter Odemwingie

West Brom, 39, AM(LR),FW",29(3),2685,15,7,3.3,1.8,1.8,1.6,1.5,2.5,2.2,7.21
"Mark Halstead

Blackpool, 29, GK",0(1),24,-,-,-,-,-,-,-,-,-,7.20
"Leighton Baines

Everton, 35, D(L),M(L)",38,3420,5,11,0.8,1.9,0.7,1.2,0.1,1.3,0.8,7.20
"Ryan Giggs

Man Utd, 46, M(CL)",19(6),1678,2,6,1.3,2.4,1.4,0.4,0.2,1.2,1.2,7.18
"Johan Elmander

Bolton, 39, M(C),FW",37,3115,10,6,2.9,1.1,1.2,1.1,0.4,2,2.5,7.18
"David Stockdale

Fulham, 34, GK",7,630,-,-,-,-,-,0.1,-,-,-,7.18
"Stewart Downing

Aston Villa, 36, D(L),M(CLR)",38,3387,7,7,2.6,2.2,0.7,0.7,0.1,0.7,1.1,7.18
"David Luiz

Chelsea, 33, D(C),DMC",11(1),954,2,-,0.8,0.5,0.6,1,-,0.8,0.8,7.17
"Yaya Touré

Man City, 37, M(C)",35,2977,8,4,1.4,1.1,1.5,0.9,0.1,1.3,1.3,7.17
"Charles N'Zogbia

Wigan, 34, M(CR)",32(2),2801,9,4,2.3,2,3.2,1.6,0.2,3.3,2.1,7.17
"Philippe Senderos

Fulham, 35, D(C)",3,270,-,-,-,-,0.3,-,-,0.7,0.3,7.16
"Steve Gohouri

Wigan, 39, D(CLR),DMC",26(1),2361,1,1,0.3,0.4,1.3,0.8,0.1,0.9,0.4,7.16
"Youssouf Mulumbu

West Brom, 33, M(C)",34,2863,7,1,0.7,0.6,0.9,1.4,-,2.2,1.3,7.16
"Bacary Sagna

Arsenal, 37, D(CR)",33,2969,1,3,0.6,0.7,0.4,1.1,-,0.8,0.6,7.16
"David Vaughan

Blackpool, 37, M(C)",35,3150,2,2,0.7,0.7,1.1,1,-,1.2,1.1,7.16
"Cheick Tioté

Newcastle, 34, M(C)",26,2311,1,1,1,0.6,1.3,2.7,-,2.5,1.2,7.16
"Robert Huth

Stoke, 36, D(C)",35,3111,6,2,1.8,0.3,0.1,0.7,-,0.4,0.3,7.15
"David Silva

Man City, 34, M(CLR)",30(5),2565,4,7,1.8,2.1,1,0.7,0.1,1.6,1,7.15
"Sylvain Distin

Everton, 42, D(C)",38,3411,2,-,0.3,0.2,0.3,0.9,-,0.4,0.2,7.15
"Maxi Rodríguez

Liverpool, 39, M(CL),FW",24(4),2044,10,-,2,1.3,0.3,1.1,0.2,1,1.5,7.14
"Ryan Nelsen

Blackburn, 42, D(C)",28,2415,3,3,0.6,0.2,0.1,0.5,-,0.1,0.1,7.14
"Rio Ferdinand

Man Utd, 41, D(C)",19,1710,-,-,0.1,0.2,0.2,0.5,-,0.2,0.2,7.13
"Daniel Sturridge

Bolton, 31, M(R),FW",11(1),973,8,-,4.8,1.3,1.8,1.9,0.7,2.4,2.8,7.12
"Mousa Dembélé

Fulham, 33, M(CR)",22(2),1923,3,3,2,1.6,2,1.9,0.4,3.4,2.4,7.12
"Leon Osman

Everton, 39, M(CLR)",20(6),1809,4,5,2.2,1.1,1.3,1.6,0.1,1.9,1.5,7.12
"Phil Jagielka

Everton, 38, D(CR)",31(2),2796,1,-,0.5,0.2,0.2,0.9,-,0.2,0.3,7.11
"Ashley Young

Aston Villa, 35, D(LR),M(LR)",34,3054,7,10,2.4,2.4,0.5,2.8,0.6,1.6,2.1,7.11
"Paulo Da Silva

Sunderland, 40, D(C)",1,90,-,-,-,-,-,-,-,-,-,7.11
"Jermaine Pennant

Stoke, 37, M(R)",26(3),2033,3,8,1,1.8,0.9,2.2,0.3,1.4,1,7.11
"Kolo Touré

Man City, 39, D(C)",21(1),1846,1,-,0.4,-,0.3,0.4,-,0.2,0.5,7.10
"Patrice Evra

Man Utd, 39, D(CL),M(L)",34(1),2963,1,1,0.4,1,0.7,0.9,0.2,1.3,0.8,7.10
"Marouane Fellaini

Everton, 32, M(C)",19(1),1654,1,2,1.3,1,1.1,1.2,0.3,2,1.1,7.10
"Nicolas Anelka

Chelsea, 41, FW",27(5),2364,6,4,2.3,1.4,1.3,1,0.7,1.9,1.4,7.10
"Demba Ba

West Ham, 35, FW",10(2),932,7,-,4,0.9,0.4,1.8,0.8,1.7,2.1,7.10
"Leon Best

Newcastle, 33, FW",9(2),753,6,-,3,0.5,0.5,1.5,1.9,1.1,1.8,7.09
"Clint Dempsey

Fulham, 37, M(CL),FW",35(2),3099,12,3,3.5,1,0.5,2.2,0.5,2.5,2.5,7.09
"Steven Pienaar

Everton, 38, M(CL)",18,1576,1,-,2.2,1.6,1.7,3.1,0.1,2.5,1.8,7.08
"Roger Johnson

Birmingham, 37, D(C)",38,3376,2,1,0.9,0.2,0.1,1.5,0.1,0.1,0.3,7.08
"Aaron Hughes

Fulham, 40, D(CR)",38,3406,1,-,0.4,0.2,0.1,0.9,-,0.2,0.4,7.08
"Danny Murphy

Fulham, 43, DMC,M(R)",37,3130,-,4,0.8,1.3,0.5,0.9,-,1.8,0.6,7.08
"Abou Diaby

Arsenal, 34, M(C)",13(3),962,2,3,1,0.8,2.3,0.4,0.1,1.9,0.8,7.08
"John Obi Mikel

Chelsea, 33, M(C)",28,2219,-,1,0.4,0.8,0.6,1.3,-,1,0.5,7.07
"Darren Bent

Aston Villa, 36, FW",16,1400,9,1,2.4,0.6,0.2,0.7,1.8,1.2,2.1,7.07
"Chris Baird

Fulham, 38, D(LR),DMC",25(4),2386,2,1,0.7,0.8,0.1,0.5,-,0.2,0.3,7.07
"Phil Bardsley

Sunderland, 35, D(LR)",32(2),2824,3,1,0.9,0.7,0.3,1,-,0.8,0.4,7.07
"Gareth Barry

Man City, 39, M(C)",31(2),2705,2,2,0.5,0.7,0.5,0.6,0.2,1.2,1,7.06
"Andrey Arshavin

Arsenal, 39, AM(LR)",25(12),2197,6,11,1.9,1.5,1,0.8,0.6,1.9,1.1,7.06
"Ramires

Chelsea, 33, M(CR)",22(7),1943,2,-,1,0.7,1.4,1,0.1,1.7,1.2,7.06
"Nigel de Jong

Man City, 35, M(C)",30(2),2612,1,1,0.3,0.5,0.1,1.4,-,0.7,0.8,7.05
"Jordan Henderson

Sunderland, 30, M(CLR)",37,3219,3,4,1.2,2.2,0.6,0.4,0.1,0.6,1.2,7.05
"Jack Wilshere

Arsenal, 28, M(CLR)",31(4),2652,1,3,0.8,1.7,1.7,1.4,-,1.4,1.3,7.05
"Laurent Koscielny

Arsenal, 34, D(C)",30,2619,2,-,0.4,-,0.1,0.8,-,0.2,0.3,7.04
"Titus Bramble

Sunderland, 39, D(C)",22(1),2001,-,-,0.3,0.1,0.2,1,-,0.1,0.4,7.04
"Martin Kelly

Liverpool, 30, D(CLR)",10(1),859,-,1,0.2,0.8,0.5,0.7,-,1.2,1.5,7.04
"Mike Williamson

Newcastle, 36, D(C)",28(1),2565,-,1,0.4,0.1,0.1,1.1,-,0.2,0.4,7.04
"James Collins

Aston Villa, 37, D(C)",31(1),2853,3,-,0.9,0.1,0.1,0.5,-,0.2,0.3,7.04
"Jamie O'Hara

Wolves, 33, M(C)",13(1),1118,3,1,2.4,1.5,0.5,0.8,0.1,1.1,1,7.04
"Marc Albrighton

Aston Villa, 30, M(LR)",20(9),1805,5,4,1.4,1.2,1.3,1,-,0.9,1.2,7.03
"Ben Watson

Wigan, 35, M(C)",23(6),2122,3,1,0.8,1.5,0.3,0.7,-,0.9,0.8,7.03
"David Junior Hoilett

Blackburn, 30, M(CLR),FW",17(7),1498,5,1,1.5,1,2.1,1,0.2,1.8,1.5,7.02
"Chris Smalling

Man Utd, 30, D(CR)",11(5),1082,-,-,0.6,0.3,0.3,0.7,0.1,0.4,0.6,7.02
"Richard Dunne

Aston Villa, 40, D(C)",32,2720,-,1,0.8,0.3,0.2,0.5,0.1,0.4,0.3,7.02
"Stiliyan Petrov

Aston Villa, 41, D(C),M(CR),FW",23(4),2072,1,2,0.9,0.6,0.3,1.8,0.1,0.7,0.6,7.02
"Heurelho Gomes

Tottenham, 39, GK",30,2700,-,-,-,0.1,-,0.3,-,-,-,7.01
"Alan Hutton

Tottenham, 35, D(LR)",19(2),1704,2,1,0.6,0.7,0.6,1.5,-,0.9,0.6,7.00
"Ian Evatt

Blackpool, 38, DMC",36(2),3216,1,3,0.6,0.4,0.2,0.6,0.1,0.3,0.6,7.00
"Craig Gardner

Birmingham, 33, D(R),M(CLR)",25(4),2219,8,-,2.3,0.8,0.6,1,0.1,1.5,1.1,7.00
"Ronald Zubar

Wolves, 34, D(C)",14(1),1258,1,-,0.9,0.5,0.5,0.8,0.1,0.7,0.7,7.00
"Joleon Lescott

Man City, 38, D(CL)",20(2),1882,3,1,0.4,0.1,0.2,0.5,0.1,0.5,0.5,6.99
"Tim Cahill

Everton, 40, M(C),FW",22(5),2016,9,3,2.1,1.3,0.4,1.1,0.9,1.8,1.1,6.99
"Ciaran Clark

Aston Villa, 30, D(CL)",16(3),1567,3,-,0.6,0.3,0.3,1.1,-,0.7,0.7,6.99
"John O'Shea

Man Utd, 39, D(C)",18(2),1542,-,3,0.4,1,0.3,0.2,-,0.3,0.6,6.99
"Phil Jones

Blackburn, 28, D(CR),DMC",24(2),2176,-,-,0.7,0.3,0.4,1.3,-,0.6,0.8,6.98
"Danny Welbeck

Sunderland, 29, AM(CLR),FW",21(5),1769,6,1,2.1,0.8,0.9,1.5,0.3,1.7,1.6,6.98
"Zat Knight

Bolton, 40, D(C)",34,2998,1,-,0.3,-,0.2,0.6,-,0.1,0.4,6.98
"Carlos Cuellar

Aston Villa, 39, D(C)",10(2),894,-,-,0.6,0.3,0.2,0.4,-,0.1,0.5,6.98
"Johan Djourou

Arsenal, 33, D(C)",20(2),1796,1,-,0.4,0.1,0.4,0.4,-,0.3,0.4,6.97
"Micah Richards

Man City, 32, D(CR)",16(2),1401,1,1,0.6,0.3,0.8,0.8,0.2,0.7,0.8,6.97
"Lee Cattermole

Sunderland, 32, M(C)",22(1),1922,-,-,0.9,0.7,0.3,1,-,0.9,0.7,6.97
"José Enrique

Newcastle, 34, D(L),M(L)",36,3126,-,1,0.5,0.8,1.8,0.9,-,1.8,0.9,6.97
"Valon Behrami

West Ham, 35, M(C)",6(1),515,2,-,0.7,0.4,1.1,2.1,-,1.3,1.1,6.96
"Grétar Steinsson

Bolton, 38, D(R)",23,1990,1,-,0.5,0.6,0.4,0.3,-,0.3,0.5,6.96
"Sulley Muntari

Sunderland, 36, M(C)",7(2),538,1,2,1.3,0.9,1.3,0.4,0.1,1.4,1.3,6.96
"Simon Davies

Fulham, 40, D(C),M(C),FW",25(5),2212,4,4,1.1,2.1,0.4,1,0.2,1,0.9,6.96
"Victor Obinna

West Ham, 33, FW",17(8),1574,3,3,3.1,1.8,1.1,0.8,0.3,1.6,1.3,6.96
"Curtis Davies

Birmingham, 35, D(C)",2(4),335,-,-,0.3,0.2,0.2,0.3,-,0.2,0.3,6.96
"Younes Kaboul

Tottenham, 34, D(C)",19(2),1635,1,1,1.2,0.3,0.7,0.7,-,1,0.6,6.95
"Anderson

Man Utd, 32, M(CR)",14(4),1190,1,2,1.1,0.8,0.8,1,0.1,1.1,1.2,6.95
"Mohamed Diamé

Wigan, 33, M(CLR)",30(6),2642,1,2,1,1,1.6,1.4,0.1,1.8,1.4,6.95
"Mark Noble

West Ham, 33, M(C)",25(1),2144,4,3,1.5,1.8,0.9,0.6,0.1,1.7,1,6.95
"Ashley Cole

Chelsea, 39, D(L),M(L)",38,3387,-,3,0.7,1.2,0.4,1.2,0.3,1.2,0.9,6.95
"James McFadden

Birmingham, 37, M(C),FW",3(1),281,-,1,0.5,2.3,1,2,-,1.5,0.8,6.95
"Vedran Corluka

Tottenham, 34, D(C)",13(2),1167,-,1,0.4,0.8,0.2,0.5,-,0.4,0.5,6.95
"Ben Foster

Birmingham, 37, GK",38,3371,-,-,-,0.1,0.1,0.1,-,-,-,6.94
"Sebastian Larsson

Birmingham, 35, M(CR)",31(4),2833,4,6,1.2,1.8,0.3,0.7,0.1,0.8,1.1,6.94
"Jermaine Jones

Blackburn, 38, D(C),M(C)",15,1297,-,-,0.9,0.7,0.3,1.3,-,0.9,1.1,6.94
"Jonás Gutiérrez

Newcastle, 37, D(LR),M(CLR)",34(3),2983,3,4,1,1.3,1.9,2.1,-,1.8,1.2,6.93
"Lee Chung-Yong

Bolton, 32, M(CLR)",25(6),2201,3,6,0.6,1.4,0.5,1.5,0.1,1.3,1.5,6.93
"Adam Bogdan

Bolton, 32, GK",3(1),321,-,-,-,-,-,0.3,-,-,0.3,6.93
"Fernando Torres

Liverpool, 36, FW",22(1),1896,9,2,3.9,1,1.3,1.8,0.8,2.9,3.6,6.93
"Morten Gamst Pedersen

Blackburn, 38, M(C)",27(8),2517,4,6,1.2,1.5,0.4,1.2,-,0.9,0.9,6.93
"Kevin Nolan

Newcastle, 38, M(C)",30,2658,12,1,2,0.9,0.1,0.7,0.5,1.4,1.2,6.93
"Paul Scharner

West Brom, 40, D(C)",33,2751,4,1,1.5,0.4,0.3,1.1,0.1,0.7,0.8,6.93
"Scott Dann

Birmingham, 33, D(C)",20,1800,2,1,0.6,0.2,0.1,0.4,0.1,0.1,0.4,6.93
"Darren Fletcher

Man Utd, 36, M(C)",24(2),2108,2,6,0.7,1,0.2,0.7,-,1,1.3,6.92
"Joe Hart

Man City, 33, GK",38,3420,-,-,-,0.1,-,0.1,-,-,-,6.92
"Matthew Etherington

Stoke, 39, M(L)",30(2),2532,5,6,1.3,2.2,0.8,0.8,0.2,1.4,1.1,6.92
"Theo Walcott

Arsenal, 31, M(CLR),FW",19(9),1696,9,7,2.4,0.8,1.2,0.9,0.6,1.3,1.5,6.92
"Hatem Ben Arfa

Newcastle, 33, M(CR),FW",3(1),171,1,-,1.3,0.8,2.5,0.5,0.3,2.3,1,6.92
"Tom Huddlestone

Tottenham, 33, DMC",13(1),1165,2,2,2.1,1.6,0.3,0.5,-,1,0.9,6.91
"Nedum Onuoha

Sunderland, 33, D(CR)",31,2673,1,1,0.7,0.3,0.7,0.7,-,0.4,0.6,6.91
"Jérôme Boateng

Man City, 32, D(CR)",14(2),1239,-,-,0.8,0.5,0.4,0.7,-,0.6,0.5,6.91
"Carlos Salcido

Fulham, 40, D(C)",22(1),1904,-,2,0.9,0.5,0.6,0.3,0.1,0.7,0.7,6.91
"Jack Robinson

Liverpool, 27, D(CL),M(L)",1(1),147,-,-,0.5,-,0.5,-,-,0.5,1,6.91
"Marouane Chamakh

Arsenal, 36, AM(C),FW",18(11),1846,7,4,1.8,1.4,0.3,1.1,0.5,2.1,2,6.91
"Jay Spearing

Liverpool, 31, M(C)",10(1),797,-,-,0.8,0.6,0.5,0.6,-,1.1,0.8,6.91
"James McCarthy

Wigan, 29, M(C)",24,1983,3,1,1,0.8,0.7,1.3,-,0.9,1.1,6.91
"Asmir Begovic

Stoke, 33, GK",28,2520,-,-,-,0.1,-,0.3,-,-,-,6.90
"Jonathan Greening

Fulham, 41, AM(C)",6(4),528,-,2,0.2,0.8,0.3,0.3,-,0.4,0.5,6.90
"Anton Ferdinand

Sunderland, 35, D(C)",23(4),2089,-,-,-,-,0.1,0.4,-,0.1,-,6.90
"Frédéric Piquionne

West Ham, 41, FW",26(8),2253,6,3,1.9,1,0.6,0.9,0.7,1.9,1.6,6.90
"Geoffrey Mujangi Bia

Wolves, 31, AM(L)",0(1),11,-,1,1,1,-,-,-,-,-,6.90
"Sam Ricketts

Bolton, 38, D(CR),DMC",14(3),1389,-,-,0.4,0.4,0.5,1.2,-,0.5,0.6,6.90
"Jonny Evans

Man Utd, 32, D(CL)",11(2),1006,-,-,0.2,0.3,0.2,0.7,-,0.5,0.3,6.90
"John Mensah

Sunderland, 37, D(CL),DMC",15(3),1195,-,1,-,0.1,0.1,1.2,-,0.5,0.4,6.89
"Jermaine Jenas

Tottenham, 37, M(C)",14(5),1320,-,1,1.2,1.1,0.7,0.8,0.1,1.1,0.9,6.89
"Luke Young

Aston Villa, 41, D(CR)",23,2070,1,1,0.4,0.4,0.5,0.8,-,0.7,0.6,6.89
"Bobby Zamora

Fulham, 39, FW",9(5),758,5,5,2.1,1.4,0.1,1.7,0.7,1.4,1.9,6.89
"Aleksandar Kolarov

Man City, 34, D(CL),M(L)",20(4),1717,1,-,2,1.1,0.4,1.5,0.1,1.1,0.8,6.89
"Sandro

Tottenham, 31, M(C)",11(8),1076,1,-,1.1,0.6,0.3,0.6,-,1,0.8,6.89
"Míchel Salgado

Blackburn, 44, D(R)",36,3034,-,2,0.3,0.6,0.3,0.8,-,0.4,0.5,6.88
"William Gallas

Tottenham, 43, D(C)",26(1),2339,-,-,0.4,0.2,0.1,0.3,0.1,0.4,0.4,6.88
"Nenad Milijas

Wolves, 37, AM(CR),FW",20(3),1720,2,3,2.4,1.1,0.4,0.9,-,1,0.5,6.88
"Jerome Thomas

West Brom, 37, M(L)",32(1),2590,3,5,1.4,1.2,1.8,2.2,0.2,2.2,1.9,6.88
"Daniel Agger

Liverpool, 35, D(C)",12(4),1091,-,-,0.3,0.2,0.4,0.6,0.1,0.2,0.3,6.87
"James Hurst

West Brom, 28, Defender",1,90,-,-,2,2,-,-,-,2,1,6.87
"Gary O'Neil

West Ham, 37, M(CR)",7(1),592,-,1,1.3,1.3,0.5,0.8,-,1.4,1.3,6.87
"Gary Taylor-Fletcher

Blackpool, 39, M(CL),FW",29(2),2459,6,4,1.3,1.4,0.9,1,0.4,2.1,1.4,6.87
"Steven Pienaar

Tottenham, 38, M(CL)",5(3),494,-,1,1.8,1.1,1.8,1.4,-,2.6,1.4,6.86
"Salomon Kalou

Chelsea, 35, AM(CLR),FW",16(15),1563,10,3,2.1,1.4,0.9,0.6,0.4,1.6,0.8,6.86
"Asamoah Gyan

Sunderland, 34, FW",20(11),2000,10,4,2.4,1.1,0.7,1,1,2,2.9,6.86
"Sebastien Bassong

Tottenham, 34, D(C)",7(5),823,1,-,0.3,-,0.1,0.4,-,0.5,0.3,6.85
"Stéphane Sessegnon

Sunderland, 36, M(CLR)",13(1),1182,3,3,2.1,1.2,1.7,1.6,0.2,2.6,2.2,6.85
"Dekel Keinan

Blackpool, 35, D(CL)",3(3),395,-,-,0.2,-,-,1,-,-,0.2,6.85
"Ryan Shawcross

Stoke, 32, D(C)",36,3196,1,-,0.7,0.1,0.2,0.8,0.1,0.3,0.6,6.85
"Petr Cech

Chelsea, 38, GK",38,3420,-,1,-,0.1,0.1,-,-,-,0.1,6.85
"Kieran Richardson

Sunderland, 35, D(L),M(CL)",23(3),2041,4,3,1.7,1.1,0.5,0.8,0.2,1,1,6.85
"Ahmed El Mohamady

Sunderland, 32, D(R),M(R)",26(10),2455,-,2,0.8,1.2,0.8,0.4,0.1,0.5,0.6,6.85
"Mario Balotelli

Man City, 30, FW",12(5),1092,6,-,2.8,0.5,0.9,1.6,0.8,2.1,1.8,6.85
"Jonas Olsson

West Brom, 37, D(C)",24,2125,1,3,0.8,0.3,-,0.5,-,0.2,0.2,6.85
"Aaron Lennon

Tottenham, 33, M(LR)",25(9),2366,3,2,0.8,1.9,1.6,1,0.1,1.3,0.7,6.84
"Michael Carrick

Man Utd, 39, D(C),M(C)",23(5),1976,-,-,0.7,0.6,0.2,0.6,-,0.6,0.6,6.84
"Dickson Etuhu

Fulham, 38, AM(CR),FW",23(5),1970,2,2,0.7,0.8,0.2,0.3,-,0.7,1.1,6.84
"Matt Upson

West Ham, 41, D(C)",30,2475,-,-,0.3,0.1,-,0.4,-,0.1,0.1,6.83
"Stephen Warnock

Aston Villa, 38, D(CL),M(L)",19,1710,-,2,0.3,0.6,0.6,0.9,0.1,0.2,0.7,6.83
"Martin Skrtel

Liverpool, 35, D(C)",38,3420,2,1,0.6,0.2,0.3,0.6,-,0.2,0.4,6.83
