Player,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"James Milner

Aston Villa, 34, D(LR),M(CLR)",1,85,1,-,6,2,1,2,-,3,-,9.14
"Javier Mascherano

Liverpool, 36, D(C),M(C)",1,79,-,1,-,1,1,1,-,1,-,8.01
"Paul Konchesky

Fulham, 39, D(L)",1,90,-,-,-,4,-,-,-,-,-,7.79
"Nani

Man Utd, 33, M(CLR),FW",31(2),2674,9,14,4.1,2.4,2.5,1.9,0.1,2.4,2,7.71
"Luis Suárez

Liverpool, 33, AM(CLR),FW",12(1),1102,4,3,4.2,1.9,3.2,2.8,0.8,2,4,7.63
"Carlos Tevez

Man City, 36, AM(CL),FW",30(1),2535,20,6,3.9,1.7,2,1.4,1,2.6,1.7,7.59
"Robin van Persie

Arsenal, 37, AM(C),FW",19(6),1768,18,7,3.9,1.8,0.7,0.8,0.4,1.6,1.2,7.56
"Cesc Fàbregas

Arsenal, 33, M(CL),FW",22(3),1887,3,11,2.8,2.9,1,2.2,0.2,2.4,1.4,7.55
"Didier Drogba

Chelsea, 42, FW",30(6),2793,11,13,4.2,2,1.3,1.2,0.8,2.4,2.9,7.55
"Andy Carroll

Newcastle, 31, FW",18(1),1624,11,3,3.9,1.1,0.5,1.6,0.3,1.7,2.3,7.54
"Danny Rose

Tottenham, 30, D(L),M(L)",4,352,-,1,0.5,0.8,2.5,3,-,0.8,1.8,7.53
"Steven Gerrard

Liverpool, 40, M(C)",20(1),1869,4,5,2.4,2.5,0.8,1,-,1.5,1.4,7.52
"Nemanja Vidic

Man Utd, 38, D(C)",35,3118,5,1,0.6,0.1,-,1,-,0.1,0.2,7.51
"Mike Pollitt

Wigan, 48, Goalkeeper",0(1),28,-,-,-,-,-,-,-,-,-,7.49
"Charlie Adam

Blackpool, 34, M(C)",34(1),3051,12,8,3.2,2.1,1.7,2.6,-,1.8,1.3,7.48
"Florent Malouda

Chelsea, 40, M(CL)",33(5),2810,13,4,2.3,3.1,1.5,0.9,0.4,2,1.3,7.44
"Rafael van der Vaart

Tottenham, 37, M(C)",28,2240,13,8,4,2.4,0.7,1.6,0.1,2.1,1.9,7.44
"Stuart Holden

Bolton, 35, M(CR)",26,2296,2,2,1.3,1.3,0.6,1.2,-,1.3,1.5,7.43
"Antolín Alcaraz

Wigan, 38, D(C)",34,3029,1,1,0.4,0.2,0.4,0.9,-,0.4,0.4,7.42
"Vincent Kompany

Man City, 34, D(C)",37,3330,-,1,0.3,0.4,0.5,0.3,-,0.4,0.4,7.42
"Ledley King

Tottenham, 39, D(L),DMC",6,494,-,-,0.3,0.2,-,0.7,-,0.2,0.2,7.40
"Brede Hangeland

Fulham, 39, D(C)",37,3330,6,1,0.5,0.3,0.3,0.7,-,0.2,0.1,7.39
"Alexandre Song

Arsenal, 32, M(C)",30(1),2595,4,2,0.7,1.1,1.1,1.3,-,2,1.3,7.38
"Wayne Rooney

Man Utd, 34, M(CLR),FW",25(3),2226,11,11,3.5,2.1,0.9,1,0.6,2,1.6,7.38
"Gareth Bale

Tottenham, 31, M(CLR),FW",29(1),2452,7,1,2.1,1.6,2.1,1.9,0.3,1.4,1.8,7.38
"Michael Dawson

Tottenham, 36, D(C)",24,2160,1,-,0.6,0.2,-,0.8,-,0.2,0.3,7.38
"Frank Lampard

Chelsea, 42, M(C)",23(1),2026,10,2,3.2,2.2,0.3,0.5,0.1,1.1,0.5,7.37
"Piscu

Wigan, 33, D(C)",1,69,-,-,-,-,2,1,-,-,1,7.36
